ID_SOGGETTO,SEQUENZA,POSA,AVG,MAX,MIN
ID001,1,frontal_gaze,0.7643060212765957,0.999983,0.065078
ID001,1,looking_around,0.8933941724137932,1.0,0.311917
ID001,1,looking_around_with_occlusion,0.9765199396551725,1.0,0.692699
ID001,2,frontal_gaze,0.8959164370078739,1.0,0.385816
ID001,2,looking_around,0.9716261828793774,1.0,0.423954
ID001,2,looking_around_with_occlusion,0.9981766225680934,1.0,0.96248
ID002,1,frontal_gaze,0.4054010412371134,0.973396,0.004545
ID002,1,looking_around,0.4921018561151079,1.0,0.001041
ID002,1,looking_around_with_occlusion,0.6934077857142857,1.0,0.003975
ID002,2,frontal_gaze,0.698203027972028,0.999999,0.054972
ID002,2,looking_around,0.8335916902654866,0.999983,0.150882
ID002,2,looking_around_with_occlusion,0.8604565844155844,1.0,0.034717
ID003,1,frontal_gaze,0.5109785317460318,0.999983,0.012121
ID003,1,looking_around,0.8215549931506849,1.0,0.15455
ID003,1,looking_around_with_occlusion,0.5601269687499999,1.0,0.025488
ID003,2,frontal_gaze,0.6069739127516778,0.989263,0.021676
ID003,2,looking_around,0.8535914114832537,1.0,0.023181
ID003,2,looking_around_with_occlusion,0.9331570666666666,1.0,0.152773
ID004,1,frontal_gaze,0.7466195772357723,0.990463,0.187084
ID004,1,looking_around,0.9808697567567567,0.999998,0.91829
ID004,2,frontal_gaze,0.8940388682170544,1.0,0.02082
ID004,2,looking_around_with_occlusion,0.9972444615384616,1.0,0.901908
ID005,1,frontal_gaze,0.8645109999999999,0.999999,0.182161
ID005,1,looking_around,0.9881566734693877,1.0,0.881049
ID005,1,looking_around_with_occlusion,0.9560755754716981,1.0,0.253145
ID005,2,frontal_gaze,0.8311710173913042,1.0,0.08111
ID005,2,looking_around_with_occlusion,0.972398212121212,1.0,0.679164
ID006,1,frontal_gaze,0.9054335314285713,0.999984,0.346877
ID006,1,looking_around,0.9330303868613139,1.0,0.166334
ID006,1,looking_around_with_occlusion,0.8800891840490799,1.0,0.031949
ID006,2,frontal_gaze,0.9275482622950819,1.0,0.313923
ID006,2,looking_around,0.9832479661016951,1.0,0.817429
ID006,2,looking_around_with_occlusion,0.9795777514792899,1.0,0.80747
ID007,1,frontal_gaze,0.8300505333333335,1.0,0.239912
ID007,1,looking_around,0.9234305867768595,1.0,0.32766
ID007,1,looking_around_with_occlusion,0.9131362285714285,1.0,0.126607
ID007,2,frontal_gaze,0.858100515873016,1.0,0.141822
ID007,2,looking_around,0.8228061976744186,1.0,0.013994
ID007,2,looking_around_with_occlusion,0.8812222871287129,1.0,0.172742
ID008,1,frontal_gaze,0.5629218947368421,0.995327,0.001062
ID008,1,looking_around,0.6800204864864863,1.0,0.015352
ID008,1,looking_around_with_occlusion,0.8836722021276594,1.0,0.08804
ID008,2,frontal_gaze,0.6337872952380952,0.999995,0.007556
ID008,2,looking_around,0.5361926960784315,1.0,0.002454
ID008,2,looking_around_with_occlusion,0.9798870074626865,1.0,0.472499
ID009,1,frontal_gaze,0.15937112765957445,0.948036,0.001981
ID009,1,looking_around,0.38224546478873234,0.999991,1.8e-05
ID009,1,looking_around_with_occlusion,0.08916504477611939,0.949051,2.8e-05
ID009,2,frontal_gaze,0.3833391232876712,0.996996,7.5e-05
ID009,2,looking_around,0.5161080615384616,1.0,0.000631
ID009,2,looking_around_with_occlusion,0.8761780204081631,1.0,0.075209
ID010,1,frontal_gaze,0.37444025252525254,0.994536,0.005232
ID010,1,looking_around,0.7966111764705883,1.0,0.034489
ID010,1,looking_around_with_occlusion,0.974742691275168,1.0,0.813198
ID010,2,frontal_gaze,0.7357863465909091,0.995158,0.115018
ID010,2,looking_around,0.9365003880597015,1.0,0.453224
ID010,2,looking_around_with_occlusion,0.9282517929292929,1.0,0.204249
ID011,1,frontal_gaze,0.8152978239436619,1.0,0.050438
ID011,1,looking_around,0.9127257749999999,0.999995,0.305351
ID011,1,looking_around_with_occlusion,0.8776434437869822,0.999999,0.118277
ID011,2,frontal_gaze,0.8594274727272729,0.997458,0.222832
ID011,2,looking_around,0.9648814268292681,1.0,0.436058
ID012,1,frontal_gaze,0.8190939749999999,1.0,0.117517
ID012,1,looking_around,0.744979,0.999998,0.008037
