PERSON ID;OTHER PERSON ID;SEQUENCE;MODE;AVG;MAX;MIN
ID001;ID053;02;looking_around;0.925486;1.029069;0.798689
ID001;ID048;02;looking_around;0.914397;1.039927;0.781312
ID001;ID051;02;looking_around_with_occlusion;0.921955;1.085597;0.749597
ID001;ID034;01;looking_around;0.941496;1.084756;0.805375
ID001;ID025;02;frontal_gaze;0.956677;1.065667;0.839414
ID001;ID054;01;looking_around;0.919215;1.083883;0.767782
ID002;ID043;02;frontal_gaze;0.971797;1.088657;0.839190
ID002;ID035;02;looking_around_with_occlusion;0.985034;1.090435;0.886356
ID002;ID027;02;frontal_gaze;0.925554;1.036554;0.847222
ID002;ID023;01;looking_around_with_occlusion;1.013705;1.111357;0.931472
ID002;ID019;02;looking_around;0.981103;1.076933;0.886938
ID002;ID012;02;looking_around_with_occlusion;1.010412;1.146381;0.877428
ID003;ID050;02;frontal_gaze;0.798372;1.080252;0.612979
ID003;ID017;01;looking_around;0.891002;0.994145;0.769240
ID003;ID024;01;looking_around_with_occlusion;0.908068;1.024079;0.775834
ID003;ID021;02;looking_around;0.949428;1.090749;0.811323
ID003;ID014;01;looking_around_with_occlusion;0.905774;1.040974;0.774874
ID003;ID040;01;looking_around_with_occlusion;0.935594;1.089546;0.809614
ID004;ID011;01;frontal_gaze;0.845606;0.954288;0.754748
ID004;ID010;01;looking_around_with_occlusion;0.943479;1.089187;0.776352
ID004;ID039;02;looking_around_with_occlusion;0.911668;1.028166;0.787084
ID004;ID044;02;looking_around_with_occlusion;0.955995;1.080821;0.816274
ID004;ID018;01;looking_around_with_occlusion;0.963299;1.066123;0.808826
ID004;ID064;01;looking_around_with_occlusion;0.960253;1.119434;0.803011
ID005;ID026;01;looking_around;0.904626;1.068992;0.773825
ID005;ID033;02;looking_around_with_occlusion;0.972710;1.077086;0.858207
ID005;ID040;01;looking_around;0.962367;1.065079;0.854852
ID005;ID053;02;looking_around_with_occlusion;0.945551;1.098055;0.783170
ID005;ID051;02;looking_around_with_occlusion;0.968393;1.045585;0.821148
ID005;ID059;02;frontal_gaze;0.986897;1.122863;0.851904
ID006;ID033;01;looking_around;0.861364;0.995957;0.724172
ID006;ID050;01;looking_around;0.948044;1.079932;0.791203
ID006;ID065;01;frontal_gaze;0.931904;1.004316;0.853037
ID006;ID003;02;looking_around_with_occlusion;0.941147;1.075428;0.830576
ID006;ID007;02;looking_around;0.934487;0.998888;0.832913
ID006;ID035;01;looking_around_with_occlusion;0.917223;1.006117;0.811499
ID007;ID059;01;frontal_gaze;0.958793;1.074050;0.854596
