PERSON ID;OTHER PERSON ID;SEQUENCE;MODE;AVG;MAX;MIN
ID001;ID053;02;looking_around;0.537257;0.485465;0.600656
ID001;ID048;02;looking_around;0.542801;0.480036;0.609344
ID001;ID051;02;looking_around_with_occlusion;0.539022;0.457202;0.625201
ID001;ID034;01;looking_around;0.529252;0.457622;0.597313
ID001;ID025;02;frontal_gaze;0.521662;0.467167;0.580293
ID001;ID054;01;looking_around;0.540393;0.458059;0.616109
ID002;ID043;02;frontal_gaze;0.514101;0.455672;0.580405
ID002;ID035;02;looking_around_with_occlusion;0.507483;0.454782;0.556822
ID002;ID027;02;frontal_gaze;0.537223;0.481723;0.576389
ID002;ID023;01;looking_around_with_occlusion;0.493147;0.444322;0.534264
ID002;ID019;02;looking_around;0.509448;0.461534;0.556531
ID002;ID012;02;looking_around_with_occlusion;0.494794;0.426809;0.561286
ID003;ID050;02;frontal_gaze;0.600814;0.459874;0.693510
ID003;ID017;01;looking_around;0.554499;0.502927;0.615380
ID003;ID024;01;looking_around_with_occlusion;0.545966;0.487961;0.612083
ID003;ID021;02;looking_around;0.525286;0.454626;0.594338
ID003;ID014;01;looking_around_with_occlusion;0.547113;0.479513;0.612563
ID003;ID040;01;looking_around_with_occlusion;0.532203;0.455227;0.595193
ID004;ID011;01;frontal_gaze;0.577197;0.522856;0.622626
ID004;ID010;01;looking_around_with_occlusion;0.528261;0.455407;0.611824
ID004;ID039;02;looking_around_with_occlusion;0.544166;0.485917;0.606458
ID004;ID044;02;looking_around_with_occlusion;0.522002;0.459589;0.591863
ID004;ID018;01;looking_around_with_occlusion;0.518350;0.466939;0.595587
ID004;ID064;01;looking_around_with_occlusion;0.519873;0.440283;0.598494
ID005;ID026;01;looking_around;0.547687;0.465504;0.613088
ID005;ID033;02;looking_around_with_occlusion;0.513645;0.461457;0.570896
ID005;ID040;01;looking_around;0.518817;0.467460;0.572574
ID005;ID053;02;looking_around_with_occlusion;0.527224;0.450972;0.608415
ID005;ID051;02;looking_around_with_occlusion;0.515804;0.477208;0.589426
ID005;ID059;02;frontal_gaze;0.506552;0.438569;0.574048
ID006;ID033;01;looking_around;0.569318;0.502022;0.637914
ID006;ID050;01;looking_around;0.525978;0.460034;0.604399
ID006;ID065;01;frontal_gaze;0.534048;0.497842;0.573481
ID006;ID003;02;looking_around_with_occlusion;0.529427;0.462286;0.584712
ID006;ID007;02;looking_around;0.532757;0.500556;0.583543
ID006;ID035;01;looking_around_with_occlusion;0.541389;0.496942;0.594251
ID007;ID059;01;frontal_gaze;0.520603;0.462975;0.572702
ID007;ID013;02;looking_around;0.533833;0.466039;0.588616
ID007;ID014;02;looking_around;0.521308;0.460334;0.571036
ID007;ID053;02;frontal_gaze;0.545130;0.497226;0.589270
ID007;ID006;02;looking_around_with_occlusion;0.509400;0.460684;0.563702
ID007;ID012;02;frontal_gaze;0.519939;0.466981;0.561690
ID008;ID049;01;looking_around;0.539517;0.469800;0.602540
ID008;ID027;01;frontal_gaze;0.549853;0.490577;0.595843
ID008;ID013;02;looking_around_with_occlusion;0.561371;0.492220;0.625245
ID008;ID055;01;looking_around;0.549376;0.498565;0.599141
ID008;ID011;01;looking_around;0.554088;0.491405;0.609328
ID008;ID014;01;looking_around_with_occlusion;0.531149;0.479870;0.604002
ID009;ID061;02;looking_around_with_occlusion;0.546618;0.461070;0.610501
ID009;ID065;02;looking_around;0.517869;0.480532;0.562551
ID009;ID034;01;looking_around_with_occlusion;0.484596;0.443825;0.526884
ID009;ID058;02;looking_around_with_occlusion;0.521119;0.469942;0.586453
ID009;ID030;01;frontal_gaze;0.528194;0.483170;0.568255
ID009;ID032;02;looking_around;0.515513;0.464774;0.550179
ID010;ID004;01;frontal_gaze;0.518096;0.478923;0.592276
ID010;ID039;02;looking_around;0.544141;0.484272;0.597872
ID010;ID015;02;frontal_gaze;0.560472;0.456314;0.629358
ID010;ID024;01;looking_around_with_occlusion;0.539710;0.476046;0.619125
ID010;ID022;02;frontal_gaze;0.473156;0.427013;0.522490
ID010;ID055;01;looking_around_with_occlusion;0.526697;0.479788;0.598689
ID011;ID004;01;looking_around;0.547745;0.468094;0.584466
ID011;ID032;02;frontal_gaze;0.520223;0.470332;0.588510
ID011;ID055;02;looking_around;0.558405;0.503365;0.641701
ID011;ID031;02;looking_around_with_occlusion;0.529133;0.473170;0.583964
ID011;ID047;01;looking_around;0.553152;0.484753;0.640081
ID011;ID017;01;looking_around_with_occlusion;0.526914;0.467182;0.574066
ID012;ID057;02;looking_around_with_occlusion;0.546860;0.504456;0.593128
ID012;ID062;01;looking_around;0.542231;0.494873;0.592071
ID012;ID043;02;looking_around;0.508088;0.462874;0.571589
ID012;ID016;01;looking_around_with_occlusion;0.545456;0.479371;0.603325
ID012;ID013;01;looking_around;0.517441;0.458929;0.571308
ID012;ID046;01;frontal_gaze;0.513607;0.469673;0.561743
ID013;ID056;01;looking_around;0.596453;0.513880;0.672283
ID013;ID020;01;frontal_gaze;0.531133;0.477639;0.583653
ID013;ID012;01;looking_around_with_occlusion;0.525753;0.448819;0.593708
ID013;ID060;02;looking_around_with_occlusion;0.518992;0.449812;0.583797
ID013;ID008;02;looking_around;0.558973;0.485711;0.611101
ID013;ID007;01;looking_around;0.519459;0.479005;0.574412
ID014;ID025;02;frontal_gaze;0.551270;0.484063;0.605360
ID014;ID062;02;looking_around_with_occlusion;0.514106;0.433160;0.586315
ID014;ID056;02;looking_around;0.542864;0.484528;0.602376
ID014;ID064;01;looking_around_with_occlusion;0.524222;0.460359;0.593612
ID014;ID003;01;looking_around;0.510804;0.455532;0.559870
ID014;ID053;01;frontal_gaze;0.571514;0.508690;0.640850
ID015;ID055;01;looking_around_with_occlusion;0.569879;0.495445;0.625196
ID015;ID065;01;looking_around_with_occlusion;0.534748;0.477073;0.576609
ID015;ID044;02;looking_around_with_occlusion;0.528342;0.451746;0.582821
ID015;ID032;01;looking_around_with_occlusion;0.524960;0.474004;0.583524
ID015;ID048;01;frontal_gaze;0.522563;0.471004;0.575419
ID015;ID054;01;looking_around;0.532599;0.466147;0.605615
ID016;ID044;01;frontal_gaze;0.542688;0.496111;0.584801
ID016;ID012;01;looking_around_with_occlusion;0.504050;0.454013;0.569091
ID016;ID063;01;frontal_gaze;0.545794;0.484155;0.611946
ID016;ID060;02;looking_around;0.532404;0.489902;0.570563
ID016;ID025;02;frontal_gaze;0.506239;0.463218;0.561294
ID016;ID035;02;frontal_gaze;0.547444;0.486635;0.635250
ID017;ID053;01;frontal_gaze;0.530669;0.448591;0.601025
ID017;ID037;02;looking_around_with_occlusion;0.557545;0.484321;0.622528
ID017;ID062;01;looking_around;0.571329;0.501738;0.668778
ID017;ID003;01;looking_around;0.528652;0.461361;0.574234
ID017;ID025;01;frontal_gaze;0.530746;0.471188;0.579168
ID017;ID011;01;frontal_gaze;0.533838;0.459422;0.595753
ID018;ID021;02;looking_around;0.521241;0.463067;0.564420
ID018;ID019;01;frontal_gaze;0.478271;0.400520;0.558529
ID018;ID004;01;looking_around;0.512055;0.458484;0.548973
ID018;ID058;02;frontal_gaze;0.526290;0.476866;0.573665
ID018;ID061;02;looking_around;0.548642;0.476754;0.616416
ID018;ID063;01;looking_around;0.542088;0.493477;0.602899
ID019;ID061;01;looking_around;0.551020;0.479332;0.629858
ID019;ID043;02;frontal_gaze;0.524265;0.458067;0.582080
ID019;ID032;02;frontal_gaze;0.514636;0.461492;0.553734
ID019;ID049;01;looking_around;0.522734;0.449831;0.574682
ID019;ID027;02;looking_around_with_occlusion;0.539392;0.462732;0.609081
ID019;ID018;02;frontal_gaze;0.536741;0.470225;0.619402
ID020;ID029;01;looking_around_with_occlusion;0.536503;0.474391;0.583560
ID020;ID013;02;frontal_gaze;0.514948;0.475494;0.562350
ID020;ID030;02;looking_around_with_occlusion;0.526027;0.473772;0.569470
ID020;ID012;02;looking_around;0.520882;0.463158;0.567827
ID020;ID043;02;looking_around;0.522895;0.439396;0.587207
ID020;ID045;02;looking_around_with_occlusion;0.522625;0.459529;0.601679
