VIDEO ID;PERSON ID;AVG;MAX;MIN
P1E_S1_C1;0005;0.2999;0.4167;0.2298
P1E_S1_C1;0013;0.2861;0.4133;0.2047
P1E_S1_C1;0015;0.4328;0.6848;0.2932
P1E_S1_C1;0016;0.2194;0.3632;0.1527
P1E_S1_C1;0017;0.2472;0.4216;0.1438
P1E_S1_C1;0019;0.2360;0.4212;0.1594
P1E_S1_C1;0021;0.3324;0.5179;0.2254
P1E_S1_C1;0024;0.2179;0.3117;0.1917
P1E_S1_C1;0025;0.2110;0.2812;0.1734
P1E_S1_C1;0022;0.2474;0.2947;0.1962
P1E_S1_C1;0023;0.2979;0.5987;0.1912
P1E_S1_C1;0018;0.2652;0.3435;0.2188
P1E_S1_C1;0001;0.3381;0.5869;0.2291
P1E_S1_C1;0012;0.2852;0.4516;0.1929
P1E_S1_C1;0010;0.2730;0.5440;0.1706
P1E_S1_C1;0006;0.3214;0.5907;0.2047
P1E_S1_C1;0009;0.2796;0.4010;0.2180
P1E_S1_C1;0026;0.3091;0.4897;0.2341
P1E_S1_C1;0027;0.2605;0.4172;0.2067
P1E_S1_C1;0007;0.3796;0.5105;0.2883
P1E_S1_C1;0020;0.3797;0.5403;0.2663
P1E_S1_C1;0011;0.3012;0.4426;0.1993
P1E_S1_C1;0014;0.3469;0.5745;0.2342
P1E_S1_C1;0004;0.3867;0.7224;0.2473
P1E_S1_C2;0005;0.3012;0.4433;0.2285
P1E_S1_C2;0013;0.3002;0.4577;0.2227
P1E_S1_C2;0015;0.3984;0.5895;0.3017
P1E_S1_C2;0016;0.2308;0.3625;0.1773
P1E_S1_C2;0017;0.2666;0.4048;0.1846
P1E_S1_C2;0019;0.2618;0.5536;0.1832
P1E_S1_C2;0021;0.3462;0.5893;0.2722
P1E_S1_C2;0024;0.2728;0.3752;0.2221
P1E_S1_C2;0025;0.2532;0.5093;0.1588
P1E_S1_C2;0022;0.2897;0.3388;0.2637
P1E_S1_C2;0023;0.3303;0.4753;0.2374
P1E_S1_C2;0018;0.2842;0.3332;0.2380
P1E_S1_C2;0001;0.3185;0.4988;0.2165
P1E_S1_C2;0012;0.2884;0.3701;0.2340
P1E_S1_C2;0010;0.2499;0.4465;0.1548
P1E_S1_C2;0006;0.2886;0.5281;0.2199
P1E_S1_C2;0009;0.3171;0.3911;0.2624
P1E_S1_C2;0026;0.2783;0.4384;0.2141
P1E_S1_C2;0027;0.2734;0.3339;0.2290
P1E_S1_C2;0007;0.3962;0.4789;0.3239
P1E_S1_C2;0020;0.4626;0.5872;0.3735
P1E_S1_C2;0011;0.3160;0.4588;0.2057
P1E_S1_C2;0014;0.3173;0.4147;0.2425
P1E_S1_C2;0004;0.3509;0.5750;0.2236
P1E_S1_C3;0003;0.3195;0.3915;0.2553
P1E_S1_C3;0005;0.3693;0.4428;0.3370
P1E_S1_C3;0013;0.3792;0.4342;0.3460
P1E_S1_C3;0015;0.3852;0.4198;0.3607
P1E_S1_C3;0016;0.2619;0.2986;0.2237
P1E_S1_C3;0017;0.3479;0.4167;0.3163
P1E_S1_C3;0019;0.2773;0.3094;0.2539
P1E_S1_C3;0021;0.4115;0.4580;0.3782
P1E_S1_C3;0024;0.3321;0.3677;0.2953
P1E_S1_C3;0025;0.2667;0.3262;0.2155
P1E_S1_C3;0023;0.4439;0.4717;0.4034
P1E_S1_C3;0018;0.3630;0.4088;0.3327
P1E_S1_C3;0001;0.3736;0.4391;0.3131
P1E_S1_C3;0012;0.3510;0.4326;0.2954
P1E_S1_C3;0010;0.3196;0.3696;0.2699
P1E_S1_C3;0006;0.3271;0.3657;0.2840
P1E_S1_C3;0009;0.4156;0.4513;0.3823
P1E_S1_C3;0026;0.2692;0.3029;0.2364
P1E_S1_C3;0027;0.3286;0.3996;0.2765
P1E_S1_C3;0007;0.4278;0.4636;0.3702
P1E_S1_C3;0020;0.5220;0.5830;0.4733
P1E_S1_C3;0011;0.3686;0.4089;0.3171
P1E_S1_C3;0014;0.4030;0.4665;0.3499
P1E_S1_C3;0004;0.4003;0.4876;0.3023
P1E_S2_C1;0009;0.2721;0.3880;0.2022
P1E_S2_C1;0003;0.2871;0.4836;0.1770
P1E_S2_C1;0017;0.2808;0.5020;0.1589
P1E_S2_C1;0005;0.2892;0.4474;0.2406
P1E_S2_C1;0015;0.4223;0.5878;0.2893
P1E_S2_C1;0024;0.2712;0.5022;0.1821
P1E_S2_C1;0022;0.3501;0.6138;0.2075
P1E_S2_C1;0019;0.2510;0.4632;0.1960
P1E_S2_C1;0021;0.3301;0.4812;0.2395
P1E_S2_C1;0025;0.2697;0.5495;0.1912
P1E_S2_C1;0023;0.2992;0.5123;0.2246
P1E_S2_C1;0026;0.3167;0.5429;0.2286
P1E_S2_C1;0027;0.2419;0.3491;0.1599
P1E_S2_C1;0013;0.2597;0.4617;0.1488
P1E_S2_C1;0020;0.3256;0.4880;0.2347
P1E_S2_C1;0007;0.3953;0.5556;0.2728
P1E_S2_C1;0010;0.3567;0.5275;0.2329
P1E_S2_C1;0006;0.3632;0.5667;0.2383
P1E_S2_C1;0011;0.3576;0.5252;0.1907
P1E_S2_C1;0018;0.3851;0.6801;0.2340
P1E_S2_C1;0001;0.3448;0.5522;0.2078
P1E_S2_C1;0004;0.4092;0.7677;0.2345
P1E_S2_C1;0012;0.3159;0.4305;0.2276
P1E_S2_C1;0014;0.4366;0.6440;0.2653
P1E_S2_C2;0009;0.2309;0.3522;0.1672
P1E_S2_C2;0003;0.2533;0.4885;0.1749
P1E_S2_C2;0017;0.2193;0.4461;0.1349
P1E_S2_C2;0005;0.2569;0.3984;0.2055
P1E_S2_C2;0015;0.3580;0.5717;0.2747
P1E_S2_C2;0024;0.2493;0.4981;0.1578
P1E_S2_C2;0022;0.2692;0.4431;0.1835
P1E_S2_C2;0019;0.2007;0.4196;0.1423
P1E_S2_C2;0021;0.2937;0.4554;0.2123
P1E_S2_C2;0025;0.2290;0.4072;0.1743
P1E_S2_C2;0023;0.2894;0.4547;0.1960
P1E_S2_C2;0026;0.2804;0.4061;0.2258
P1E_S2_C2;0027;0.1929;0.2063;0.1793
P1E_S2_C2;0013;0.2245;0.4484;0.1476
P1E_S2_C2;0020;0.3066;0.4843;0.1807
P1E_S2_C2;0007;0.3381;0.5139;0.2393
P1E_S2_C2;0010;0.2400;0.3452;0.1865
P1E_S2_C2;0006;0.2822;0.5130;0.2030
P1E_S2_C2;0011;0.2942;0.5236;0.1850
P1E_S2_C2;0018;0.2849;0.4875;0.2068
P1E_S2_C2;0001;0.2696;0.4970;0.1688
P1E_S2_C2;0004;0.3132;0.5198;0.2142
P1E_S2_C2;0012;0.2500;0.3765;0.1724
P1E_S2_C2;0014;0.3266;0.4899;0.2284
P1E_S2_C3;0009;0.2639;0.3366;0.1944
P1E_S2_C3;0003;0.2634;0.3291;0.2097
P1E_S2_C3;0017;0.2487;0.3460;0.2116
P1E_S2_C3;0005;0.3107;0.3701;0.2734
P1E_S2_C3;0015;0.3526;0.4787;0.2725
P1E_S2_C3;0024;0.2801;0.3255;0.2213
P1E_S2_C3;0022;0.3057;0.3777;0.2537
P1E_S2_C3;0019;0.2260;0.2672;0.1888
P1E_S2_C3;0021;0.3326;0.4301;0.2493
P1E_S2_C3;0025;0.2532;0.3443;0.1939
P1E_S2_C3;0023;0.4238;0.5227;0.3452
P1E_S2_C3;0026;0.2581;0.2951;0.2174
P1E_S2_C3;0016;0.2540;0.3012;0.2201
P1E_S2_C3;0013;0.2600;0.3596;0.2191
P1E_S2_C3;0020;0.3223;0.4587;0.2302
P1E_S2_C3;0007;0.3959;0.5069;0.3248
P1E_S2_C3;0010;0.3025;0.4376;0.2543
P1E_S2_C3;0006;0.2882;0.4292;0.2222
P1E_S2_C3;0011;0.3115;0.4695;0.2375
P1E_S2_C3;0018;0.3008;0.3751;0.2566
P1E_S2_C3;0001;0.3089;0.4223;0.2481
P1E_S2_C3;0004;0.3216;0.3711;0.2863
P1E_S2_C3;0012;0.2627;0.3094;0.2308
P1E_S2_C3;0014;0.3318;0.4167;0.2676
P1E_S3_C1;0015;0.4747;0.7036;0.3486
P1E_S3_C1;0005;0.3368;0.4195;0.2743
P1E_S3_C1;0003;0.3269;0.5576;0.2129
P1E_S3_C1;0019;0.3264;0.5086;0.2178
P1E_S3_C1;0021;0.3330;0.5001;0.2117
P1E_S3_C1;0017;0.3522;0.5501;0.2271
P1E_S3_C1;0016;0.3105;0.4468;0.2059
P1E_S3_C1;0013;0.2944;0.4705;0.2072
P1E_S3_C1;0009;0.2904;0.4414;0.2224
P1E_S3_C1;0026;0.3872;0.5248;0.3030
P1E_S3_C1;0027;0.2506;0.4563;0.1817
P1E_S3_C1;0014;0.4329;0.5921;0.2656
P1E_S3_C1;0011;0.3808;0.5217;0.2507
P1E_S3_C1;0001;0.3700;0.5512;0.2216
P1E_S3_C1;0010;0.3775;0.5379;0.2911
P1E_S3_C1;0012;0.3534;0.5074;0.2653
P1E_S3_C1;0020;0.4868;0.6398;0.3943
P1E_S3_C1;0024;0.3781;0.5896;0.2033
P1E_S3_C1;0023;0.3739;0.5736;0.2251
P1E_S3_C1;0022;0.3365;0.5056;0.2093
P1E_S3_C1;0025;0.3955;0.6792;0.2329
P1E_S3_C1;0018;0.3891;0.6090;0.3032
P1E_S3_C1;0006;0.4557;0.7167;0.2945
P1E_S3_C1;0004;0.4756;0.7136;0.2733
P1E_S3_C1;0007;0.4558;0.6069;0.3162
P1E_S3_C2;0015;0.3787;0.5855;0.2644
P1E_S3_C2;0005;0.2666;0.3870;0.2239
