PERSON ID;VIDEO ID;OTHER PERSON ID;AVG;MAX;MIN
0005;P2L_S2_C1.1;0024;1.0030;1.1034;0.9210
0005;P2L_S4_C1.2;0015;1.0917;1.2085;0.9864
0005;P2L_S3_C1.2;0022;0.9342;1.0069;0.8846
0005;P2L_S4_C1.1;0030;0.9944;1.0935;0.9315
0005;P1L_S3_C2;0021;0.9510;1.0323;0.8839
0005;P1L_S3_C1;0021;0.9784;1.1024;0.8935
0005;P1E_S4_C1;0011;1.0339;1.0961;0.9594
0005;P2E_S2_C2.2;0015;1.0864;1.1656;1.0098
0005;P1E_S2_C1;0003;0.9970;1.0552;0.9421
0005;P2L_S3_C1.1;0014;0.9894;1.0638;0.9026
0005;P1L_S4_C1;0003;0.9955;1.0578;0.9459
0005;P1E_S4_C3;0023;1.0247;1.0595;0.9636
0005;P2E_S2_C1.1;0027;0.9512;1.0033;0.9091
0005;P2L_S4_C2.2;0003;0.9964;1.0551;0.9150
0005;P1E_S1_C2;0011;1.0030;1.0485;0.9472
0005;P2E_S3_C1.2;0021;0.9298;0.9947;0.8478
0005;P1E_S2_C2;0027;1.0376;1.0414;1.0323
0005;P1L_S4_C2;0020;0.9922;1.0950;0.9271
0005;P1L_S2_C2;0027;1.0086;1.0478;0.9412
0005;P2E_S3_C2.2;0022;0.9295;0.9771;0.8553
0005;P2E_S3_C1.1;0012;0.9887;1.0767;0.9340
0005;P2L_S1_C2.1;0014;0.9929;1.0703;0.9007
0005;P2E_S1_C3.1;0016;1.0268;1.0802;0.9665
0005;P2E_S3_C3.2;0015;1.0607;1.1181;1.0016
0005;P2L_S4_C3.2;0015;1.0987;1.1870;0.9946
0005;P2E_S2_C1.2;0022;0.9340;1.0226;0.8917
0005;P1L_S1_C2;0007;0.9511;1.0032;0.9008
0005;P2E_S4_C3.2;0021;0.9385;0.9903;0.8392
0005;P2E_S4_C2.2;0022;0.9120;0.9776;0.8441
0005;P2L_S1_C1.1;0024;0.9973;1.0722;0.9222
0005;P1E_S1_C1;0017;0.9918;1.0874;0.9017
0005;P1L_S3_C3;0017;0.9905;1.0374;0.9582
0005;P2L_S3_C2.2;0003;0.9811;1.0636;0.9119
0005;P1L_S2_C1;0025;1.0618;1.1360;0.9873
0005;P2L_S1_C2.2;0003;0.9954;1.0453;0.9391
0005;P2L_S3_C2.1;0006;0.8333;0.9184;0.7640
0005;P2E_S2_C3.2;0015;1.0690;1.1489;0.9922
0005;P1E_S4_C2;0027;1.0421;1.0757;0.9911
0005;P2L_S2_C1.2;0015;1.1096;1.1853;1.0149
0005;P2L_S4_C2.1;0012;0.9910;1.0419;0.9200
0005;P2L_S2_C2.1;0026;0.9534;1.0165;0.8809
0005;P1E_S3_C1;0020;0.9680;1.0646;0.8472
0005;P2L_S1_C3.1;0026;0.9821;1.0162;0.9361
0005;P1L_S1_C3;0020;1.0194;1.0661;0.9693
0005;P1L_S1_C1;0004;0.9834;1.1016;0.8816
0005;P2E_S2_C3.1;0023;0.9997;1.0656;0.9275
0005;P2L_S2_C3.2;0015;1.0749;1.1593;0.9769
0005;P2E_S4_C2.1;0020;0.9545;1.0338;0.8835
