PERSON ID;VIDEO ID;OTHER PERSON ID;AVG;MAX;MIN
0005;P2L_S2_C1.1;0024;0.4985;0.4483;0.5395
0005;P2L_S4_C1.2;0015;0.4542;0.3958;0.5068
0005;P2L_S3_C1.2;0022;0.5329;0.4966;0.5577
0005;P2L_S4_C1.1;0030;0.5028;0.4533;0.5343
0005;P1L_S3_C2;0021;0.5245;0.4839;0.5580
0005;P1L_S3_C1;0021;0.5108;0.4488;0.5533
0005;P1E_S4_C1;0011;0.4830;0.4519;0.5203
0005;P2E_S2_C2.2;0015;0.4568;0.4172;0.4951
0005;P1E_S2_C1;0003;0.5015;0.4724;0.5290
0005;P2L_S3_C1.1;0014;0.5053;0.4681;0.5487
0005;P1L_S4_C1;0003;0.5022;0.4711;0.5271
0005;P1E_S4_C3;0023;0.4877;0.4702;0.5182
0005;P2E_S2_C1.1;0027;0.5244;0.4983;0.5454
0005;P2L_S4_C2.2;0003;0.5018;0.4725;0.5425
0005;P1E_S1_C2;0011;0.4985;0.4758;0.5264
0005;P2E_S3_C1.2;0021;0.5351;0.5027;0.5761
0005;P1E_S2_C2;0027;0.4812;0.4793;0.4839
0005;P1L_S4_C2;0020;0.5039;0.4525;0.5364
0005;P1L_S2_C2;0027;0.4957;0.4761;0.5294
0005;P2E_S3_C2.2;0022;0.5353;0.5114;0.5724
0005;P2E_S3_C1.1;0012;0.5056;0.4617;0.5330
0005;P2L_S1_C2.1;0014;0.5035;0.4648;0.5496
0005;P2E_S1_C3.1;0016;0.4866;0.4599;0.5168
0005;P2E_S3_C3.2;0015;0.4697;0.4409;0.4992
0005;P2L_S4_C3.2;0015;0.4506;0.4065;0.5027
0005;P2E_S2_C1.2;0022;0.5330;0.4887;0.5541
0005;P1L_S1_C2;0007;0.5245;0.4984;0.5496
0005;P2E_S4_C3.2;0021;0.5308;0.5049;0.5804
0005;P2E_S4_C2.2;0022;0.5440;0.5112;0.5779
0005;P2L_S1_C1.1;0024;0.5013;0.4639;0.5389
0005;P1E_S1_C1;0017;0.5041;0.4563;0.5492
0005;P1L_S3_C3;0017;0.5048;0.4813;0.5209
0005;P2L_S3_C2.2;0003;0.5094;0.4682;0.5440
0005;P1L_S2_C1;0025;0.4691;0.4320;0.5064
0005;P2L_S1_C2.2;0003;0.5023;0.4774;0.5304
0005;P2L_S3_C2.1;0006;0.5834;0.5408;0.6180
0005;P2E_S2_C3.2;0015;0.4655;0.4255;0.5039
0005;P1E_S4_C2;0027;0.4789;0.4621;0.5045
0005;P2L_S2_C1.2;0015;0.4452;0.4073;0.4926
0005;P2L_S4_C2.1;0012;0.5045;0.4790;0.5400
0005;P2L_S2_C2.1;0026;0.5233;0.4918;0.5595
0005;P1E_S3_C1;0020;0.5160;0.4677;0.5764
0005;P2L_S1_C3.1;0026;0.5090;0.4919;0.5319
0005;P1L_S1_C3;0020;0.4903;0.4669;0.5153
